,GOT_HIT,NOT_HIT,1_AGO,2_AGO,3_AGO,4_AGO,5_AGO,6_AGO,7_AGO,P_ID,G_ID,BAT_ORDER,G_DATE,TEAM,hist_AB,hist_H,starting_P_ID,GS1AGO,GS2AGO,GS3AGO
380722,0,1,0,0,0,1,1,1,1,452655,2017_05_31_wasmlb_sfnmlb_1,100,2017-05-31,Giants,9,3,453286,86.0,41.0,57.0
380723,1,0,1,1,0,1,1,1,1,456488,2017_05_31_wasmlb_sfnmlb_1,200,2017-05-31,Giants,3,0,453286,86.0,41.0,57.0
380724,1,0,0,1,0,1,0,1,1,474832,2017_05_31_wasmlb_sfnmlb_1,300,2017-05-31,Giants,5,1,453286,86.0,41.0,57.0
380725,1,0,1,1,0,0,0,0,1,457763,2017_05_31_wasmlb_sfnmlb_1,400,2017-05-31,Giants,2,0,453286,86.0,41.0,57.0
380726,0,1,1,1,1,0,1,1,1,543063,2017_05_31_wasmlb_sfnmlb_1,500,2017-05-31,Giants,5,1,453286,86.0,41.0,57.0
380727,0,1,1,1,0,0,1,1,1,593525,2017_05_31_wasmlb_sfnmlb_1,600,2017-05-31,Giants,0,0,453286,86.0,41.0,57.0
380728,1,0,1,0,1,0,0,0,0,605412,2017_05_31_wasmlb_sfnmlb_1,700,2017-05-31,Giants,3,0,453286,86.0,41.0,57.0
380729,0,1,1,1,1,1,0,0,1,491676,2017_05_31_wasmlb_sfnmlb_1,800,2017-05-31,Giants,0,0,453286,86.0,41.0,57.0
380730,0,1,0,0,1,0,0,0,0,430912,2017_05_31_wasmlb_sfnmlb_1,900,2017-05-31,Giants,1,0,453286,86.0,41.0,57.0
380731,0,1,1,0,0,0,0,0,1,431094,2017_05_31_wasmlb_sfnmlb_1,901,2017-05-31,Giants,8,2,453286,86.0,41.0,57.0
380732,0,1,1,1,1,1,1,1,1,502004,2017_05_31_wasmlb_sfnmlb_1,902,2017-05-31,Giants,0,0,453286,86.0,41.0,57.0
380733,0,1,1,1,1,1,1,1,1,519326,2017_05_31_wasmlb_sfnmlb_1,903,2017-05-31,Giants,0,0,453286,86.0,41.0,57.0
380734,1,0,0,0,0,1,0,1,0,605509,2017_05_31_wasmlb_sfnmlb_1,904,2017-05-31,Giants,0,0,453286,86.0,41.0,57.0
380735,0,1,1,1,1,1,1,1,1,453343,2017_05_31_wasmlb_sfnmlb_1,905,2017-05-31,Giants,0,0,453286,86.0,41.0,57.0
380736,1,0,1,0,1,1,1,0,1,607208,2017_05_31_wasmlb_sfnmlb_1,100,2017-05-31,Nationals,6,1,430912,63.0,22.0,66.0
380737,0,1,1,0,0,1,0,1,0,150029,2017_05_31_wasmlb_sfnmlb_1,200,2017-05-31,Nationals,6,1,430912,63.0,22.0,66.0
380738,1,0,1,1,0,0,1,1,1,502517,2017_05_31_wasmlb_sfnmlb_1,300,2017-05-31,Nationals,16,2,430912,63.0,22.0,66.0
380739,1,0,1,1,1,1,0,1,1,475582,2017_05_31_wasmlb_sfnmlb_1,400,2017-05-31,Nationals,14,2,430912,63.0,22.0,66.0
380740,1,0,1,1,0,1,1,1,1,543685,2017_05_31_wasmlb_sfnmlb_1,500,2017-05-31,Nationals,7,0,430912,63.0,22.0,66.0
380741,1,0,1,1,0,0,1,0,1,446308,2017_05_31_wasmlb_sfnmlb_1,600,2017-05-31,Nationals,5,1,430912,63.0,22.0,66.0
380742,0,1,1,1,0,0,1,1,1,571718,2017_05_31_wasmlb_sfnmlb_1,700,2017-05-31,Nationals,0,0,430912,63.0,22.0,66.0
380743,1,0,1,0,0,1,1,0,1,572191,2017_05_31_wasmlb_sfnmlb_1,800,2017-05-31,Nationals,3,0,430912,63.0,22.0,66.0
380744,1,0,0,0,0,1,1,0,0,453286,2017_05_31_wasmlb_sfnmlb_1,900,2017-05-31,Nationals,1,0,430912,63.0,22.0,66.0
380745,1,0,1,0,1,1,1,1,0,451594,2017_05_31_lanmlb_slnmlb_1,100,2017-05-31,Cardinals,5,1,547943,60.0,41.0,10.0
380746,0,1,1,1,0,1,1,0,1,572761,2017_05_31_lanmlb_slnmlb_1,200,2017-05-31,Cardinals,8,2,547943,60.0,41.0,10.0
380747,0,1,1,0,1,1,1,1,1,425877,2017_05_31_lanmlb_slnmlb_1,300,2017-05-31,Cardinals,4,1,547943,60.0,41.0,10.0
380748,0,1,0,1,0,0,1,1,0,576397,2017_05_31_lanmlb_slnmlb_1,400,2017-05-31,Cardinals,10,0,547943,60.0,41.0,10.0
380749,1,0,0,1,1,1,1,1,0,502054,2017_05_31_lanmlb_slnmlb_1,500,2017-05-31,Cardinals,1,1,547943,60.0,41.0,10.0
380750,1,0,0,0,1,1,1,0,1,572039,2017_05_31_lanmlb_slnmlb_1,600,2017-05-31,Cardinals,2,0,547943,60.0,41.0,10.0
380751,1,0,0,1,1,0,0,1,1,657557,2017_05_31_lanmlb_slnmlb_1,700,2017-05-31,Cardinals,0,0,547943,60.0,41.0,10.0
380752,0,1,0,1,1,1,1,1,1,649557,2017_05_31_lanmlb_slnmlb_1,800,2017-05-31,Cardinals,2,0,547943,60.0,41.0,10.0
380753,0,1,0,0,1,1,0,0,0,593372,2017_05_31_lanmlb_slnmlb_1,900,2017-05-31,Cardinals,3,2,547943,60.0,41.0,10.0
380754,0,1,1,0,0,1,0,0,1,500874,2017_05_31_lanmlb_slnmlb_1,901,2017-05-31,Cardinals,0,0,547943,60.0,41.0,10.0
380755,0,1,1,1,1,1,1,1,1,493200,2017_05_31_lanmlb_slnmlb_1,902,2017-05-31,Cardinals,0,0,547943,60.0,41.0,10.0
380756,0,1,1,1,0,0,0,0,1,523253,2017_05_31_lanmlb_slnmlb_1,100,2017-05-31,Dodgers,0,0,593372,62.0,93.0,54.0
380757,1,0,1,1,0,1,0,1,0,608369,2017_05_31_lanmlb_slnmlb_1,200,2017-05-31,Dodgers,3,2,593372,62.0,93.0,54.0
380758,1,0,1,1,1,1,1,0,1,518735,2017_05_31_lanmlb_slnmlb_1,300,2017-05-31,Dodgers,9,1,593372,62.0,93.0,54.0
380759,1,0,1,1,1,1,1,1,1,408236,2017_05_31_lanmlb_slnmlb_1,400,2017-05-31,Dodgers,17,3,593372,62.0,93.0,54.0
380760,0,1,0,0,0,0,1,0,1,518649,2017_05_31_lanmlb_slnmlb_1,401,2017-05-31,Dodgers,0,0,593372,62.0,93.0,54.0
380761,0,1,1,1,1,1,1,1,0,400284,2017_05_31_lanmlb_slnmlb_1,500,2017-05-31,Dodgers,8,0,593372,62.0,93.0,54.0
380762,0,1,0,1,1,0,0,1,1,641355,2017_05_31_lanmlb_slnmlb_1,600,2017-05-31,Dodgers,0,0,593372,62.0,93.0,54.0
